Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-04),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,Phantasmal Flames,Mega Gengar ex,056/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,2.28,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Mega Heracross ex,004/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.75,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Mismagius ex,036/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.62,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Mismagius ex,112/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,1.79,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Nymble,096/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,1.74,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Oricorio ex,018/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.64,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Piplup,098/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,15.66,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Rotom ex,029/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.51,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Rotom ex,111/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,1.24,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Switch,123/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,1.21,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Toxtricity,103/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,2.07,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Wigglytuff,105/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,6.2,0,false,2026-05-02,
Main,Pokemon,Prismatic Evolutions,Vaporeon ex,023/131,Double Rare,Holofoil,Ungraded,Near Mint,0,1,3.1,0,false,2026-05-02,
Main,Pokemon,Shrouded Fable,Fezandipiti ex,038/064,Double Rare,Holofoil,Ungraded,Near Mint,0,1,2.94,0,false,2026-05-02,
Main,Pokemon,Surging Sparks,Ceruledge ex,036/191,Double Rare,Holofoil,Ungraded,Near Mint,0,1,1.11,0,false,2026-05-02,
Main,Pokemon,Surging Sparks,Hydreigon ex,119/191,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.79,0,false,2026-05-02,
Main,Pokemon,Surging Sparks,Hydreigon ex,223/191,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.31,0,false,2026-05-02,
Main,Pokemon,Surging Sparks,Precious Trolley,185/191,ACE SPEC Rare,Holofoil,Ungraded,Near Mint,0,1,2.69,0,false,2026-05-02,
Main,Pokemon,Surging Sparks,Scramble Switch,186/191,ACE SPEC Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.45,0,false,2026-05-03,
Main,Pokemon,Terastal Festival ex,Giacomo (JP),196/187,Super Rare,Holofoil,Ungraded,Near Mint,0,1,4.16,0,false,2026-05-02,
Main,Pokemon,Vivid Voltage,Charizard,025/185,Rare,Normal,Ungraded,Near Mint,0.0000,1,3.54,0,false,2026-05-26,
